コード	前	後
JP-PDSCA-DEL-O-14	エチルパラニトロフエニルチオノベンゼンホスホネイト（別名ＥＰＮ）一・五％以下を含有する製剤	エチルパラニトロフエニルチオノベンゼンホスホネイト（別名ＥＰＮ）１，５％以下を含有する製剤
JP-PDSCA-DEL-O-14-2	Ｏ―エチル＝Ｓ―プロピル＝［（二Ｅ）―二―（シアノイミノ）―三―エチルイミダゾリジン―一―イル］ホスホノチオアート（別名イミシアホス）及びこれを含有する製剤	Ｏ－エチル＝Ｓ－プロピル＝［（２Ｅ）－２－（シアノイミノ）－３－エチルイミダゾリジン－１－イル］ホスホノチオアート（別名イミシアホス）及びこれを含有する製剤
JP-PDSCA-DEL-O-14-3	エチル＝（Ｚ）―三―〔Ｎ―ベンジル―Ｎ―〔〔メチル（一―メチルチオエチリデンアミノオキシカルボニル）アミノ〕チオ〕アミノ〕プロピオナート及びこれを含有する製剤	エチル＝（Ｚ）－３－〔Ｎ－ベンジル－Ｎ－〔〔メチル（１－メチルチオエチリデンアミノオキシカルボニル）アミノ〕チオ〕アミノ〕プロピオナート及びこれを含有する製剤
JP-PDSCA-DEL-O-14-4	Ｏ―エチル―Ｏ―四―メチルチオフエニル―Ｓ―プロピルジチオホスフエイト及びこれを含有する製剤	Ｏ－エチル－Ｏ－４－メチルチオフエニル－Ｓ－プロピルジチオホスフエイト及びこれを含有する製剤
JP-PDSCA-DEL-O-14-5	Ｏ―エチル＝Ｓ―一―メチルプロピル＝（二―オキソ―三―チアゾリジニル）ホスホノチオアート（別名ホスチアゼート）及びこれを含有する製剤	Ｏ－エチル＝Ｓ－１－メチルプロピル＝（２－オキソ－３－チアゾリジニル）ホスホノチオアート（別名ホスチアゼート）及びこれを含有する製剤
JP-PDSCA-DEL-O-14-6	四―エチルメルカプトフエニル―Ｎ―メチルカルバメート及びこれを含有する製剤	４－エチルメルカプトフエニル－Ｎ－メチルカルバメート及びこれを含有する製剤
JP-PDSCA-DEL-O-18-2	（一Ｒ・二Ｓ・三Ｒ・四Ｓ）―七―オキサビシクロ［二・二・一］ヘプタン―二・三―ジカルボン酸（別名エンドタール）、その塩類及びこれらのいずれかを含有する製剤	（１Ｒ，２Ｓ，３Ｒ，４Ｓ）－７－オキサビシクロ［２．２．１］ヘプタン－２，３－ジカルボン酸（別名エンドタール）、その塩類及びこれらのいずれかを含有する製剤
JP-PDSCA-DEL-O-18-4	オキシラン―二―イルメチル＝メタクリラート及びこれを含有する製剤	オキシラン－２－イルメチル＝メタクリラート及びこれを含有する製剤
JP-PDSCA-DEL-O-18-5	一・二・四・五・六・七・八・八―オクタクロロ―二・三・三ａ・四・七・七ａ―ヘキサヒドロ―四・七―メタノ―一Ｈ―インデン、一・二・三・四・五・六・七・八・八―ノナクロロ―二・三・三ａ・四・七・七ａ―ヘキサヒドロ―四・七―メタノ―一Ｈ―インデン、四・五・六・七・八・八―ヘキサクロロ―三ａ・四・七・七ａ―テトラヒドロ―四・七―メタノインデン、一・四・五・六・七・八・八―ヘプタクロロ―三ａ・四・七・七ａ―テトラヒドロ―四・七―メタノ―一Ｈ―インデン及びこれらの類縁化合物の混合物（別名クロルデン）並びにこれを含有する製剤	１，２，４，５，６，７，８，８－オクタクロロ－２，３，３ａ，４，７，７ａ－ヘキサヒドロ－４，７－メタノ－１Ｈ－インデン、１，２，３，４，５，６，７，８，８－ノナクロロ－２，３，３ａ，４，７，７ａ－ヘキサヒドロ－４，７－メタノ－１Ｈ－インデン、４，５，６，７，８，８－ヘキサクロロ－３ａ，４，７，７ａ－テトラヒドロ－４，７－メタノインデン、１，４，５，６，７，８，８－ヘプタクロロ－３ａ，４，７，７ａ－テトラヒドロ－４，７－メタノ－１Ｈ－インデン及びこれらの類縁化合物の混合物（別名クロルデン）並びにこれを含有する製剤
JP-PDSCA-DEL-O-22-2	［（二―カルボキシラトフエニル）チオ］（エチル）水銀ナトリウム（別名チメロサール）〇・一％以下を含有する製剤	［（２－カルボキシラトフエニル）チオ］（エチル）水銀ナトリウム（別名チメロサール）０．１％以下を含有する製剤
JP-PDSCA-DEL-O-26-2	二―クロルエチルトリメチルアンモニウム塩類及びこれを含有する製剤	２－クロルエチルトリメチルアンモニウム塩類及びこれを含有する製剤
JP-PDSCA-DEL-O-26-3	Ｎ―（三―クロル―四―クロルジフルオロメチルチオフエニル）―Ｎ′・Ｎ′―ジメチルウレア及びこれを含有する製剤	Ｎ－（３－クロル－４－クロルジフルオロメチルチオフエニル）－Ｎ’・Ｎ’－ジメチルウレア及びこれを含有する製剤
JP-PDSCA-DEL-O-26-4	二―クロル―一―（二・四―ジクロルフエニル）ビニルエチルメチルホスフエイト及びこれを含有する製剤	２－クロル－１－（２，４－ジクロルフエニル）ビニルエチルメチルホスフエイト及びこれを含有する製剤
JP-PDSCA-DEL-O-26-5	二―クロル―一―（二・四―ジクロルフエニル）ビニルジメチルホスフエイト及びこれを含有する製剤	２－クロル－１－（２，４－ジクロルフエニル）ビニルジメチルホスフエイト及びこれを含有する製剤
JP-PDSCA-DEL-O-26-6	一―クロル―一・二―ジブロムエタン及びこれを含有する製剤	１－クロル－１，２－ジブロムエタン及びこれを含有する製剤
JP-PDSCA-DEL-O-26-7	二―クロル―四・五―ジメチルフエニル―Ｎ―メチルカルバメート及びこれを含有する製剤	２－クロル－４，５－ジメチルフエニル－Ｎ－メチルカルバメート及びこれを含有する製剤
JP-PDSCA-DEL-O-28-3	二―クロロアニリン及びこれを含有する製剤	２－クロロアニリン及びこれを含有する製剤
JP-PDSCA-DEL-O-28-4	四―クロロ―三―エチル―一―メチル―Ｎ―［四―（パラトリルオキシ）ベンジル］ピラゾール―五―カルボキサミド及びこれを含有する製剤	４－クロロ－３－エチル－１－メチル－Ｎ－［４－（パラトリルオキシ）ベンジル］ピラゾール－５－カルボキサミド及びこれを含有する製剤
JP-PDSCA-DEL-O-28-5	五―クロロ―Ｎ―［二―［四―（二―エトキシエチル）―二・三―ジメチルフエノキシ］エチル］―六―エチルピリミジン―四―アミン（別名ピリミジフエン）及びこれを含有する製剤	５－クロロ－Ｎ－［２－［４－（２－エトキシエチル）－２．３－ジメチルフエノキシ］エチル］－６－エチルピリミジン－４－アミン（別名ピリミジフエン）及びこれを含有する製剤
JP-PDSCA-DEL-O-28-9	一―クロロ―四―ニトロベンゼン及びこれを含有する製剤	１－クロロ－４－ニトロベンゼン及びこれを含有する製剤
JP-PDSCA-DEL-O-28-10	二―クロロニトロベンゼン及びこれを含有する製剤	２－クロロニトロベンゼン及びこれを含有する製剤
JP-PDSCA-DEL-O-28-11	トランス―Ｎ―（六―クロロ―三―ピリジルメチル）―Ｎ′―シアノ―Ｎ―メチルアセトアミジン（別名アセタミプリド）及びこれを含有する製剤	トランス－Ｎ－（６－クロロ－３－ピリジルメチル）－Ｎ’－シアノ－Ｎ－メチルアセトアミジン（別名アセタミプリド）及びこれを含有する製剤
JP-PDSCA-DEL-O-28-12	一―（六―クロロ―三―ピリジルメチル）―Ｎ―ニトロイミダゾリジン―二―イリデンアミン（別名イミダクロプリド）及びこれを含有する製剤	１－（６－クロロ－３－ピリジルメチル）－Ｎ－ニトロイミダゾリジン－２－イリデンアミン（別名イミダクロプリド）及びこれを含有する製剤
JP-PDSCA-DEL-O-28-13	三―（六―クロロピリジン―三―イルメチル）―一・三―チアゾリジン―二―イリデンシアナミド（別名チアクロプリド）及びこれを含有する製剤	３－（６－クロロピリジン－３－イルメチル）－１，３－チアゾリジン－２－イリデンシアナミド（別名チアクロプリド）及びこれを含有する製剤
JP-PDSCA-DEL-O-28-14	（ＲＳ）―〔Ｏ―一―（四―クロロフエニル）ピラゾール―四―イル＝Ｏ―エチル＝Ｓ―プロピル＝ホスホロチオアート〕（別名ピラクロホス）及びこれを含有する製剤	（ＲＳ）－〔Ｏ－１－（４－クロロフエニル）ピラゾール－４－イル＝Ｏ－エチル＝Ｓ－プロピル＝ホスホロチオアート〕（別名ピラクロホス）及びこれを含有する製剤
JP-PDSCA-DEL-O-28-15	四―クロロ―二―フルオロ―五―［（ＲＳ）―（二・二・二―トリフルオロエチル）スルフイニル］フエニル＝五―［（トリフルオロメチル）チオ］ペンチル＝エーテル（別名フルペンチオフエノツクス）及びこれを含有する製剤	４－クロロ－２－フルオロ－５－［（ＲＳ）－（２，２，２－トリフルオロエチル）スルフイニル］フエニル＝５－［（トリフルオロメチル）チオ］ペンチル＝エーテル（別名フルペンチオフエノツクス）及びこれを含有する製剤
JP-PDSCA-DEL-O-31	酸化水銀五％以下を含有する製剤	酸化水銀５％以下を含有する製剤
JP-PDSCA-DEL-O-31-3	四―ジアリルアミノ―三・五―ジメチルフエニル―Ｎ―メチルカルバメート及びこれを含有する製剤	４－ジアリルアミノ－３，５－ジメチルフエニル－Ｎ－メチルカルバメート及びこれを含有する製剤
JP-PDSCA-DEL-O-33	ジイソプロピル―Ｓ―（エチルスルフイニルメチル）―ジチオホスフエイト及びこれを含有する製剤	ジイソプロピル－Ｓ－（エチルスルフイニルメチル）－ジチオホスフエイト及びこれを含有する製剤
JP-PDSCA-DEL-O-33-2	二―（ジエチルアミノ）エタノール及びこれを含有する製剤	２－（ジエチルアミノ）エタノール及びこれを含有する製剤
JP-PDSCA-DEL-O-33-3	二―ジエチルアミノ―六―メチルピリミジル―四―ジエチルチオホスフエイト及びこれを含有する製剤	２－ジエチルアミノ－６－メチルピリミジル－４－ジエチルチオホスフエイト及びこれを含有する製剤
JP-PDSCA-DEL-O-34	ジエチル―Ｓ―（エチルチオエチル）―ジチオホスフエイト五％以下を含有する製剤	ジエチル－Ｓ－（エチルチオエチル）－ジチオホスフエイト５％以下を含有する製剤
JP-PDSCA-DEL-O-34-2	ジエチル―Ｓ―（二―オキソ―六―クロルベンゾオキサゾロメチル）―ジチオホスフエイト及びこれを含有する製剤	ジエチル－Ｓ－（２－オキソ－６－クロルベンゾオキサゾロメチル）－ジチオホスフエイト及びこれを含有する製剤
JP-PDSCA-DEL-O-34-3	Ｏ・Ｏ′―ジエチル＝Ｏ″―（二―キノキサリニル）＝チオホスフアート（別名キナルホス）及びこれを含有する製剤	Ｏ，Ｏ’－ジエチル＝Ｏ”－（２－キノキサリニル）＝チオホスフアート（別名キナルホス）及びこれを含有する製剤
JP-PDSCA-DEL-O-35	ジエチル―四―クロルフエニルメルカプトメチルジチオホスフエイトを含有する製剤	ジエチル－４－クロルフエニルメルカプトメチルジチオホスフエイトを含有する製剤
JP-PDSCA-DEL-O-35-2	ジエチル―一―（二′・四′―ジクロルフエニル）―二―クロルビニルホスフエイト及びこれを含有する製剤	ジエチル－１－（２’・４’－ジクロルフエニル）－２－クロルビニルホスフエイト及びこれを含有する製剤
JP-PDSCA-DEL-O-36	ジエチル―（二・四―ジクロルフエニル）―チオホスフエイトを含有する製剤	ジエチル－（２，４－ジクロルフエニル）－チオホスフエイトを含有する製剤
JP-PDSCA-DEL-O-37	ジエチル―二・五―ジクロルフエニルメルカプトメチルジチオホスフエイトを含有する製剤	ジエチル－２，５－ジクロルフエニルメルカプトメチルジチオホスフエイトを含有する製剤
JP-PDSCA-DEL-O-37-2	ジエチル―（一・三―ジチオシクロペンチリデン）―チオホスホルアミド五％以下を含有する製剤	ジエチル－（１，３－ジチオシクロペンチリデン）－チオホスホルアミド５％以下を含有する製剤
JP-PDSCA-DEL-O-37-4	ジエチル―三・五・六―トリクロル―二―ピリジルチオホスフエイト及びこれを含有する製剤	ジエチル－３，５，６－トリクロル－２－ピリジルチオホスフエイト及びこれを含有する製剤
JP-PDSCA-DEL-O-37-5	ジエチル―（五―フエニル―三―イソキサゾリル）―チオホスフエイト（別名イソキサチオン）及びこれを含有する製剤	ジエチル－（５－フエニル－３－イソキサゾリル）－チオホスフエイト（別名イソキサチオン）及びこれを含有する製剤
JP-PDSCA-DEL-O-37-6	ジエチル―Ｓ―ベンジルチオホスフエイト及びこれを含有する製剤	ジエチル－Ｓ－ベンジルチオホスフエイト及びこれを含有する製剤
JP-PDSCA-DEL-O-37-7	ジエチル―四―メチルスルフイニルフエニル―チオホスフエイト三％以下を含有する製剤	ジエチル－４－メチルスルフイニルフエニル－チオホスフエイト３％以下を含有する製剤
JP-PDSCA-DEL-O-38-2	二―（一・三―ジオキソラン―二―イル）―フエニル―Ｎ―メチルカルバメート及びこれを含有する製剤	２－（１，３－ジオキソラン－２－イル）－フエニル－Ｎ－メチルカルバメート及びこれを含有する製剤
JP-PDSCA-DEL-O-38-3	一・三―ジカルバモイルチオ―二―（Ｎ・Ｎ―ジメチルアミノ）―プロパン、その塩類及びこれらのいずれかを含有する製剤	１，３－ジカルバモイルチオ－２－（Ｎ，Ｎ－ジメチルアミノ）－プロパン、その塩類及びこれらのいずれかを含有する製剤
JP-PDSCA-DEL-O-39-2	シクロヘキサ―四―エン―一・二―ジカルボン酸無水物及びこれを含有する製剤	シクロヘキサ－４－エン－１，２－ジカルボン酸無水物及びこれを含有する製剤
JP-PDSCA-DEL-O-40-3	ジ（二―クロルイソプロピル）エーテル及びこれを含有する製剤	ジ（２－クロルイソプロピル）エーテル及びこれを含有する製剤
JP-PDSCA-DEL-O-40-5	二・四―ジクロル―六―ニトロフエノール、その塩類及びこれらのいずれかを含有する製剤	２，４－ジクロル－６－ニトロフエノール、その塩類及びこれらのいずれかを含有する製剤
JP-PDSCA-DEL-O-41-2	二′・四―ジクロロ―α・α・α―トリフルオロ―四′―ニトロメタトルエンスルホンアニリド（別名フルスルフアミド）及びこれを含有する製剤	２’・４－ジクロロ－α・α・α－トリフルオロ－４’－ニトロメタトルエンスルホンアニリド（別名フルスルフアミド）及びこれを含有する製剤
JP-PDSCA-DEL-O-41-3	二・四―ジクロロ―一―ニトロベンゼン及びこれを含有する製剤	２，４－ジクロロ－１－ニトロベンゼン及びこれを含有する製剤
JP-PDSCA-DEL-O-41-4	二・四―ジクロロフエノール及びこれを含有する製剤	２，４－ジクロロフエノール及びこれを含有する製剤
JP-PDSCA-DEL-O-41-5	一・三―ジクロロプロペン及びこれを含有する製剤	１，３－ジクロロプロペン及びこれを含有する製剤
JP-PDSCA-DEL-O-42	二・三―ジ―（ジエチルジチオホスホロ）―パラジオキサンを含有する製剤	２，３－ジ－（ジエチルジチオホスホロ）－パラジオキサンを含有する製剤
JP-PDSCA-DEL-O-43	二・四―ジニトロ―六―シクロヘキシルフエノールを含有する製剤	２，４－ジニトロ－６－シクロヘキシルフエノールを含有する製剤
JP-PDSCA-DEL-O-43-2	二・四―ジニトロトルエン及びこれを含有する製剤	２，４－ジニトロトルエン及びこれを含有する製剤
JP-PDSCA-DEL-O-44	二・四―ジニトロ―六―（一―メチルプロピル）―フエニルアセテートを含有する製剤	２，４－ジニトロ－６－（１－メチルプロピル）－フエニルアセテートを含有する製剤
JP-PDSCA-DEL-O-45	二・四―ジニトロ―六―（一―メチルプロピル）―フエノール二％以下を含有する製剤	２，４－ジニトロ－６－（１－メチルプロピル）－フエノール２％以下を含有する製剤
JP-PDSCA-DEL-O-46	二・四―ジニトロ―六―メチルプロピルフエノールジメチルアクリレートを含有する製剤	２，４－ジニトロ－６－メチルプロピルフエノールジメチルアクリレートを含有する製剤
JP-PDSCA-DEL-O-46-3	二・三―ジヒドロ―二・二―ジメチル―七―ベンゾ〔ｂ〕フラニル―Ｎ―ジブチルアミノチオ―Ｎ―メチルカルバマート（別名カルボスルフアン）及びこれを含有する製剤	２，３－ジヒドロ－２，２－ジメチル－７－ベンゾ〔ｂ〕フラニル－Ｎ－ジブチルアミノチオ－Ｎ－メチルカルバマート（別名カルボスルフアン）及びこれを含有する製剤
JP-PDSCA-DEL-O-47	二・二′―ジピリジリウム―一・一′―エチレンジブロミドを含有する製剤	２，２’－ジピリジリウム－１，１’－エチレンジブロミドを含有する製剤
JP-PDSCA-DEL-O-47-2	二―ジフエニルアセチル―一・三―インダンジオン〇・〇〇五％以下を含有する製剤	２－ジフエニルアセチル－１，３－インダンジオン０．００５％以下を含有する製剤
JP-PDSCA-DEL-O-47-3	三―（ジフルオロメチル）―一―メチル―Ｎ―［（三Ｒ）―一・一・三―トリメチル―二・三―ジヒドロ―一Ｈ―インデン―四―イル］―一Ｈ―ピラゾール―四―カルボキサミド及びこれを含有する製剤	３－（ジフルオロメチル）－１－メチル－Ｎ－［（３Ｒ）－１，１，３－トリメチル－２，３－ジヒドロ－１Ｈ－インデン－４－イル］－１Ｈ－ピラゾール－４－カルボキサミド及びこれを含有する製剤
JP-PDSCA-DEL-O-47-4	ジプロピル―四―メチルチオフエニルホスフエイト及びこれを含有する製剤	ジプロピル－４－メチルチオフエニルホスフエイト及びこれを含有する製剤
JP-PDSCA-DEL-O-48	一・二―ジブロムエタン（別名ＥＤＢ）を含有する製剤	１，２－ジブロムエタン（別名ＥＤＢ）を含有する製剤
JP-PDSCA-DEL-O-50	三・五―ジブロム―四―ヒドロキシ―四′―ニトロアゾベンゼンを含有する製剤	３，５－ジブロム－４－ヒドロキシ－４’－ニトロアゾベンゼンを含有する製剤
JP-PDSCA-DEL-O-50-2	二・三―ジブロモプロパン―一―オール及びこれを含有する製剤	２，３－ジブロモプロパン－１－オール及びこれを含有する製剤
JP-PDSCA-DEL-O-50-3	二―（ジメチルアミノ）エタノール及びこれを含有する製剤	２－（ジメチルアミノ）エタノール及びこれを含有する製剤
JP-PDSCA-DEL-O-50-4	二―（ジメチルアミノ）エチル＝メタクリレート及びこれを含有する製剤	２－（ジメチルアミノ）エチル＝メタクリレート及びこれを含有する製剤
JP-PDSCA-DEL-O-50-5	二―ジメチルアミノ―五・六―ジメチルピリミジル―四―Ｎ・Ｎ―ジメチルカルバメート及びこれを含有する製剤	２－ジメチルアミノ－５，６－ジメチルピリミジル－４－Ｎ，Ｎ－ジメチルカルバメート及びこれを含有する製剤
JP-PDSCA-DEL-O-50-6	五―ジメチルアミノ―一・二・三―トリチアン、その塩類及びこれらのいずれかを含有する製剤	５－ジメチルアミノ－１，２，３－トリチアン、その塩類及びこれらのいずれかを含有する製剤
JP-PDSCA-DEL-O-50-8	ジメチル―（イソプロピルチオエチル）―ジチオホスフエイト四％以下を含有する製剤	ジメチル－（イソプロピルチオエチル）－ジチオホスフエイト４％以下を含有する製剤
JP-PDSCA-DEL-O-53	ジメチル―二・二―ジクロルビニルホスフエイト（別名ＤＤＶＰ）を含有する製剤	ジメチル－２，２－ジクロルビニルホスフエイト（別名ＤＤＶＰ）を含有する製剤
JP-PDSCA-DEL-O-54-2	三―ジメチルジチオホスホリル―Ｓ―メチル―五―メトキシ―一・三・四―チアジアゾリン―二―オン及びこれを含有する製剤	３－ジメチルジチオホスホリル－Ｓ－メチル－５－メトキシ－１，３，４－チアジアゾリン－２－オン及びこれを含有する製剤
JP-PDSCA-DEL-O-54-3	二・二―ジメチル―二・三―ジヒドロ―一―ベンゾフラン―七―イル＝Ｎ―〔Ｎ―（二―エトキシカルボニルエチル）―Ｎ―イソプロピルスルフエナモイル〕―Ｎ―メチルカルバマート（別名ベンフラカルブ）及びこれを含有する製剤	２，２－ジメチル－２，３－ジヒドロ－１－ベンゾフラン－７－イル＝Ｎ－〔Ｎ－（２－エトキシカルボニルエチル）－Ｎ－イソプロピルスルフエナモイル〕－Ｎ－メチルカルバマート（別名ベンフラカルブ）及びこれを含有する製剤
JP-PDSCA-DEL-O-55-2	ジメチル―Ｓ―パラクロルフエニルチオホスフエイト（別名ＤＭＣＰ）及びこれを含有する製剤	ジメチル－Ｓ－パラクロルフエニルチオホスフエイト（別名ＤＭＣＰ）及びこれを含有する製剤
JP-PDSCA-DEL-O-55-3	三・四―ジメチルフエニル―Ｎ―メチルカルバメート及びこれを含有する製剤	３，４－ジメチルフエニル－Ｎ－メチルカルバメート及びこれを含有する製剤
JP-PDSCA-DEL-O-55-4	三・五―ジメチルフエニル―Ｎ―メチルカルバメート及びこれを含有する製剤	３，５－ジメチルフエニル－Ｎ－メチルカルバメート及びこれを含有する製剤
JP-PDSCA-DEL-O-56-2	Ｎ・Ｎ―ジメチルプロパン―一・三―ジアミン及びこれを含有する製剤	Ｎ，Ｎ－ジメチルプロパン－１，３－ジアミン及びこれを含有する製剤
JP-PDSCA-DEL-O-56-3	二・二―ジメチル―一・三―ベンゾジオキソール―四―イル―Ｎ―メチルカルバマート（別名ベンダイオカルブ）五％以下を含有する製剤	２，２－ジメチル－１，３－ベンゾジオキソール－４－イル－Ｎ－メチルカルバマート（別名ベンダイオカルブ）５％以下を含有する製剤
JP-PDSCA-DEL-O-58	ジメチル―（Ｎ―メチルカルバミルメチル）―ジチオホスフエイト（別名ジメトエート）を含有する製剤	ジメチル－（Ｎ－メチルカルバミルメチル）－ジチオホスフエイト（別名ジメトエート）を含有する製剤
JP-PDSCA-DEL-O-58-2	ジメチル―〔二―（一′―メチルベンジルオキシカルボニル）―一―メチルエチレン〕―ホスフエイト及びこれを含有する製剤	ジメチル－〔２－（１’－メチルベンジルオキシカルボニル）－１－メチルエチレン〕－ホスフエイト及びこれを含有する製剤
JP-PDSCA-DEL-O-58-3	Ｏ・Ｏ―ジメチル―Ｏ―（三―メチル―四―メチルスルフイニルフエニル）―チオホスフエイト及びこれを含有する製剤	Ｏ，Ｏ－ジメチル－Ｏ－（３－メチル－４－メチルスルフイニルフエニル）－チオホスフエイト及びこれを含有する製剤
JP-PDSCA-DEL-O-59	ジメチル―四―メチルメルカプト―三―メチルフエニルチオホスフエイトを含有する製剤	ジメチル－４－メチルメルカプト－３－メチルフエニルチオホスフエイトを含有する製剤
JP-PDSCA-DEL-O-59-2	三―（ジメトキシホスフイニルオキシ）―Ｎ―メチル―シス―クロトナミド及びこれを含有する製剤	３－（ジメトキシホスフイニルオキシ）－Ｎ－メチル－シス－クロトナミド及びこれを含有する製剤
JP-PDSCA-DEL-O-69-2	スチレン及びジビニルベンゼンの共重合物のスルホン化物の七―ブロモ―六―クロロ―三―〔三―〔（二Ｒ・三Ｓ）―三―ヒドロキシ―二―ピペリジル〕―二―オキソプロピル〕―四（三Ｈ）―キナゾリノンと七―ブロモ―六―クロロ―三―〔三―〔（二Ｓ・三Ｒ）―三―ヒドロキシ―二―ピペリジル〕―二―オキソプロピル〕―四（三Ｈ）―キナゾリノンとのラセミ体とカルシウムとの混合塩（七―ブロモ―六―クロロ―三―〔三―〔（二Ｒ・三Ｓ）―三―ヒドロキシ―二―ピペリジル〕―二―オキソプロピル〕―四（三Ｈ）―キナゾリノンと七―ブロモ―六―クロロ―三―〔三―〔（二Ｓ・三Ｒ）―三―ヒドロキシ―二―ピペリジル〕―二―オキソプロピル〕―四（三Ｈ）―キナゾリノンとのラセミ体として七・二％以下を含有するものに限る。以下この号において同じ。）及びこれを含有する製剤	スチレン及びジビニルベンゼンの共重合物のスルホン化物の７－ブロモ－６－クロロ－３－〔３－〔（２Ｒ，３Ｓ）－３－ヒドロキシ－２－ピペリジル〕－２－オキソプロピル〕－４（３Ｈ）－キナゾリノンと７－ブロモ－６－クロロ－３－〔３－〔（２Ｓ，３Ｒ）－３－ヒドロキシ－２－ピペリジル〕－２－オキソプロピル〕－４（３Ｈ）－キナゾリノンとのラセミ体とカルシウムとの混合塩（７－ブロモ－６－クロロ－３－〔３－〔（２Ｒ，３Ｓ）－３－ヒドロキシ－２－ピペリジル〕－２－オキソプロピル〕－４（３Ｈ）－キナゾリノンと７－ブロモ－６－クロロ－３－〔３－〔（２Ｓ，３Ｒ）－３－ヒドロキシ－２－ピペリジル〕－２－オキソプロピル〕－４（３Ｈ）－キナゾリノンとのラセミ体として７，２％以下を含有するものに限る。以下この号において同じ。）及びこれを含有する製剤
JP-PDSCA-DEL-O-69-4	二―チオ―三・五―ジメチルテトラヒドロ―一・三・五―チアジアジン及びこれを含有する製剤	２－チオ－３，５－ジメチルテトラヒドロ－１，３，５－チアジアジン及びこれを含有する製剤
JP-PDSCA-DEL-O-71-3	（Ｓ）―二・三・五・六―テトラヒドロ―六―フエニルイミダゾ〔二・一―ｂ〕チアゾール、その塩類及びこれらのいずれかを含有する製剤	（Ｓ）－２，３，５，６－テトラヒドロ－６－フエニルイミダゾ〔２，１－ｂ〕チアゾール、その塩類及びこれらのいずれかを含有する製剤
JP-PDSCA-DEL-O-71-4	二・三・五・六―テトラフルオロ―四―メチルベンジル＝（Ｚ）―（一ＲＳ・三ＲＳ）―三―（二―クロロ―三・三・三―トリフルオロ―一―プロペニル）―二・二―ジメチルシクロプロパンカルボキシラート（別名テフルトリン）一・五％以下を含有する製剤	２，３，５，６－テトラフルオロ－４－メチルベンジル＝（Ｚ）－（１ＲＳ，３ＲＳ）－３－（２－クロロ－３，３，３－トリフルオロ－１－プロペニル）－２，２－ジメチルシクロプロパンカルボキシラート（別名テフルトリン）１，５％以下を含有する製剤
JP-PDSCA-DEL-O-71-5	三・七・九・一三―テトラメチル―五・一一―ジオキサ―二・八・一四―トリチア―四・七・九・一二―テトラアザペンタデカ―三・一二―ジエン―六・一〇―ジオン（別名チオジカルブ）及びこれを含有する製剤	３，７，９，１３－テトラメチル－５，１１－ジオキサ－２，８，１４－トリチア－４，７，９，１２－テトラアザペンタデカ－３，１２－ジエン－６，１０－ジオン（別名チオジカルブ）及びこれを含有する製剤
JP-PDSCA-DEL-O-71-6	二・四・六・八―テトラメチル―一・三・五・七―テトラオキソカン（別名メタアルデヒド）及びこれを含有する製剤	２，４，６，８－テトラメチル－１，３，５，７－テトラオキソカン（別名メタアルデヒド）及びこれを含有する製剤
JP-PDSCA-DEL-O-72-2	一―ドデシルグアニジニウム＝アセタート（別名ドジン）六五％以下を含有する製剤	１－ドデシルグアニジニウム＝アセタート（別名ドジン）６５％以下を含有する製剤
JP-PDSCA-DEL-O-72-3	三・六・九―トリアザウンデカン―一・一一―ジアミン及びこれを含有する製剤	３，６，９－トリアザウンデカン－１，１１－ジアミン及びこれを含有する製剤
JP-PDSCA-DEL-O-73	トリエタノールアンモニウム―二・四―ジニトロ―六―（一―メチルプロピル）―フエノラートを含有する製剤	トリエタノールアンモニウム－２，４－ジニトロ－６－（１－メチルプロピル）－フエノラートを含有する製剤
JP-PDSCA-DEL-O-74-2	二・四・五―トリクロルフエノキシ酢酸、そのエステル類及びこれらのいずれかを含有する製剤	２，４，５－トリクロルフエノキシ酢酸、そのエステル類及びこれらのいずれかを含有する製剤
JP-PDSCA-DEL-O-74-5	一・二・三―トリクロロプロパン及びこれを含有する製剤	１，２，３－トリクロロプロパン及びこれを含有する製剤
JP-PDSCA-DEL-O-77-2	ナラシン又はその塩類のいずれかを含有する製剤であつて、ナラシンとして一〇％以下を含有するもの	ナラシン又はその塩類のいずれかを含有する製剤であつて、ナラシンとして１０％以下を含有するもの
JP-PDSCA-DEL-O-77-4	一―（四―ニトロフエニル）―三―（三―ピリジルメチル）ウレア及びこれを含有する製剤	１－（４－ニトロフエニル）－３－（３－ピリジルメチル）ウレア及びこれを含有する製剤
JP-PDSCA-DEL-O-80-2	Ｎ・Ｎ′―ビス（二―アミノエチル）エタン―一・二―ジアミン及びこれを含有する製剤	Ｎ，Ｎ’－ビス（２－アミノエチル）エタン－１，２－ジアミン及びこれを含有する製剤
JP-PDSCA-DEL-O-80-3	ビス（二―エチルヘキシル）＝水素＝ホスフアート及びこれを含有する製剤	ビス（２－エチルヘキシル）＝水素＝ホスフアート及びこれを含有する製剤
JP-PDSCA-DEL-O-80-4	Ｓ・Ｓ―ビス（一―メチルプロピル）＝Ｏ―エチル＝ホスホロジチオアート（別名カズサホス）一〇％以下を含有する製剤	Ｓ，Ｓ－ビス（１－メチルプロピル）＝Ｏ－エチル＝ホスホロジチオアート（別名カズサホス）１０％以下を含有する製剤
JP-PDSCA-DEL-O-80-7	二―ヒドロキシ―四―メチルチオ酪酸及びこれを含有する製剤	２－ヒドロキシ－４－メチルチオ酪酸及びこれを含有する製剤
