100-20-9	テレフタル酸クロライド	1,4-Benzenedicarbonyl dichloride
94276-78-5		Cuprate(3-), [.mu.-[2-[[6-[[4-[[4-[2-[4-[4-[(2-carboxyphenyl)azo]-4,5-dihydro-3-methyl-5-oxo-1H-pyrazol-1-yl]-2-sulfophenyl]ethenyl]-3-sulfophenyl]amino]-6-(phenylamino)-1,3,5-triazin-2-yl]amino]-1-hydroxy-3-sulfo-2-naphthalenyl]azo]benzoato(7-)]]di-, trihydrogen
94276-79-6		Cuprate(3-), [.mu.-[2-[[6-[[4-[[4-[2-[4-[4-[(2-carboxyphenyl)azo]-4,5-dihydro-3-methyl-5-oxo-1H-pyrazol-1-yl]-2-sulfophenyl]ethenyl]-3-sulfophenyl]amino]-6-(phenylamino)-1,3,5-triazin-2-yl]amino]-1-hydroxy-3-sulfo-2-naphthalenyl]azo]benzoato(7-)]]di-, trisodium
94276-80-9		Dihydrogen [3-[[4-hydroxy-3-[(2-hydroxy-1-naphthyl)azo]phenyl]azo]benzenesulphonato(3-)][2-[(2-hydroxy-5-nitrophenyl)azo]-4-tert-pentylphenolato(2-)]chromate(2-)
94276-81-0		Chromate(3-), [4-hydroxy-3-[(2-hydroxy-3,5-dinitrophenyl)azo]-6-[[(4-methylphenyl)sulfonyl]amino]-2-naphthalenesulfonato(3-)][3-hydroxy-4-[(2-hydroxy-1-naphthalenyl)azo]-7-nitro-1-naphthalenesulfonato(3-)]-, trihydrogen
94276-82-1		Dichloro(ethane-1,2-diol-O,O')zinc
94276-84-3		(D-Gluconato-O1,O2)silver
94276-85-4		Hydroxy(2-mercaptoethyl stearato-O',S)barium
94276-86-5		[29H,31H-Phthalocyanine-1,11,17,23-tetrathiolato(2-)-N29,N30,N31,N32]copper, tetrasodium salt
94276-88-7		Mercurate(1-), [dodecenylbutanedioato(2-)-O']phenyl-, hydrogen
94276-90-1		[4-[(O-Chlorophenyl)(1-methyl-2-phenyl-1H-indol-3-yl)methylene]cyclohexa-2,5-dien-1-ylidene]diethylammonium trichlorozincate(1-)
94276-93-4		4-(Benzoylamino)-5-chloro-2-methylbenzenediazonium tetrachlorozincate (2:1)
94276-95-6		Tris(6-methylheptane-2,4-dionato-O,O')chromium
94277-05-1		Aluminium, compound with manganese (5:1)
94277-09-5		[Undecachloro-29H,31H-phthalocyaninato(2-)-N29,N30,N31,N32]copper
94277-10-8		[Dodecachloro-29H,31H-phthalocyaninato(2-)-N29,N30,N31,N32]copper
94277-11-9		[Tridecachloro-29H,31H-phthalocyaninato(2-)-N29,N30,N31,N32]copper
94277-12-0		[Tetradecachloro-29H,31H-phthalocyaninato(2-)-N29,N30,N31,N32]copper
94277-13-1		Cuprate(1-), [C,C-bis[(dibutylamino)sulfonyl]-29H,31H-phthalocyanine-C-sulfonato(3-)-N29,N30,N31,N32]-, ammonium
94277-14-2		Cuprate(1-), [C,C,C-tris[(dibutylamino)sulfonyl]-29H,31H-phthalocyanine-C-sulfonato(3-)-N29,N30,N31,N32]-, ammonium
94277-15-3		Hydrogen [bis[[[3-(cyclohexylamino)propyl]amino]sulphonyl]-29H,31H-phthalocyaninesulphonato(3-)-N29,N30,N31,N32]cuprate(1-)
94277-16-4		Cuprate(1-), [C,C,C-tris[[[3-(cyclohexylamino)propyl]amino]sulfonyl]-29H,31H-phthalocyanine-C-sulfonato(3-)-N29,N30,N31,N32]-, hydrogen
94277-17-5		Dihydrogen [29H,31H-phthalocyaninedisulphonato(4-)-N29,N30,N31,N32]cuprate(2-), compound with N,N'-di(o-tolyl)guanidine (1:2)
94277-19-7		Copper, [N,N',N''-tris[3-(dimethylamino)propyl]-29H,31H-phthalocyanine-C,C,C-trisulfonamidato(2-)-.kappa.N29,.kappa.N30,.kappa.N31,.kappa.N32]-
94277-51-7	四水素＝［３-（｛４-クロロ-６-［（２-ヒドロキシエチル）アミノ］-１，３，５-トリアジン-２-イル｝アミノ）-５-［（３-メチル-５-オキソ-κＯ-４，５-ジヒドロ-１Ｈ-ピラゾール-４-イド-４-イル）ジアゼニル-κＮ（１）］-４-オキシド-κＯ-ベンゼンスルホナト］（４-｛［６-（｛４-クロロ-６-［（２-ヒドロキシエチル）アミノ］-１，３，５-トリアジン-２-イル｝アミノ）-１-オキシド-κＯ-３-スルホナト-２-ナフチル］ジアゼニル-κＮ（１）｝-７-ニトロ-３-オキシド-κＯ-ナフタレン-１-スルホナト）コバルタート（４-）	Cobaltate(4-), [3-[[4-chloro-6-[(2-hydroxyethyl)amino]-1,3,5-triazin-2-yl]amino]-5-[(4,5-dihydro-3-methyl-5-oxo-1H-pyrazol-4-yl)azo]-4-hydroxybenzenesulfonato(3-)][4-[[6-[[4-chloro-6-[(2-hydroxyethyl)amino]-1,3,5-triazin-2-yl]amino]-1-hydroxy-3-sulfo-2-naphthalenyl]azo]-3-hydroxy-7-nitro-1-naphthalenesulfonato(4-)]-, tetrahydroen
94277-52-8	四ナトリウム＝［３-（｛４-クロロ-６-［（２-ヒドロキシエチル）アミノ］-１，３，５-トリアジン-２-イル｝アミノ）-４-ヒドロキシ-５-［（３-メチル-５-オキソ-４，５-ジヒドロ-１Ｈ-ピラゾール-４-イル）ジアゼニル］ベンゼンスルホナト］（４-｛［６-（｛４-クロロ-６-［（２-ヒドロキシエチル）アミノ］-１，３，５-トリアジン-２-イル｝アミノ）-１-ヒドロキシ-３-スルホナフタレン-２-イル］ジアゼニル｝-３-ヒドロキシ-７-ニトロナフタレン-１-スルホナト）コバルタート（４-）	Cobaltate(4-), [3-[[4-chloro-6-[(2-hydroxyethyl)amino]-1,3,5-triazin-2-yl]amino]-5-[(4,5-dihydro-3-methyl-5-oxo-1H-pyrazol-4-yl)azo]-4-hydroxybenzenesulfonato(3-)][4-[[6-[[4-chloro-6-[(2-hydroxyethyl)amino]-1,3,5-triazin-2-yl]amino]-1-hydroxy-3-sulfo-2-naphthalenyl]azo]-3-hydroxy-7-nitro-1-naphthalenesulfonato(4-)]-, tetrasodium
94277-53-9		Hydrogen .mu.-hydroxy[.mu.-[orthoborato(3-)-O:O']]diphenyldimercurate(1-)
94277-54-0		Sodium [4-[4,5-dihydro-4-[(2-hydroxy-4-nitrophenyl)azo]-3-methyl-5-oxo-1H-pyrazol-1-yl]benzenesulphonato(3-)]cuprate(1-)
94277-56-2		Bis(N-acetyl-L-tryptophanato-O,on)hydroxyaluminium
94277-59-5	ビス［６-アミノ-２-（２-ヒドロキシ-３，５-ジニトロフェニルアゾ）-３-スルホ-１-ナフトラト-（Ｏ，Ｏ'）（３-）］クロム（ＩＩＩ）酸＝三ナトリウム	Hydrogen bis[2,4-dihydro-4-[(2-hydroxy-5-nitrophenyl)azo]-5-methyl-2-phenyl-3H-pyrazol-3-onato(2-)]chromate(1-), compound with 2-(dodecylamino)ethanol (1:1)
94277-60-8	６-アミノ-２-（２-ヒドロキシ-３，５-ジニトロフエニルアゾ）-３-スルホ-１-ナフトールの１：２型クロム錯塩の三ナトリウム塩	Trisodium bis[7-amino-4-hydroxy-3-[(2-hydroxy-3,5-dinitrophenyl)azo]naphthalene-2-sulphonato(3-)]chromate(3-)
94277-61-9	２-（ドデシルアミノ）エタノールとビス［１-（２-ヒドロキシ-４-ニトロフェニル）アゾ］-２-ナフタレノラト（２-）］クロム酸（１-）水素の付加物	Hydrogen bis[1-[(2-hydroxy-4-nitrophenyl)azo]-2-naphtholato(2-)]chromate(1-) , compound with 2-(dodecylamino)ethanol (1:1)
94277-62-0	ビス［２-［５-ヒドロキシ-３-メチル-１-（４-スルホフェニル）-４-ピラゾリルアゾ］ベンゾアト-（Ｏ，Ｏ'）（３-）］クロム（ＩＩＩ）酸＝三ナトリウム	Chromate(3-), bis[2-[[4,5-dihydro-3-methyl-5-oxo-1-(4-sulfophenyl)-1H-pyrazol-4-yl]azo]benzoato(3-)]-, trisodium
94277-63-1	２-（ドデシルアミノ）エタノールとビス［１-（５-クロロ-２-ヒドロキシフェニル）アゾ］-２-ナフタレノラト（２-）］クロム酸水素の（１：１）付加物	Hydrogen bis[1-[(5-chloro-2-hydroxyphenyl)azo]-2-naphtholato(2-)]chromate(1-), compound with 2-(dodecylamino)ethanol (1:1)
94277-65-3		Aluminium lithium tetrahydroxide
94277-66-4		Bis[3-[[4-(diethylamino)-o-tolyl]azo]-1,2-dimethyl-5-phenyl-1H-pyrazolium] tetrachlorozincate
94277-67-5		Chromate(1-), dihydroxy[3-[(8-hydroxy-7-quinolinyl)azo]benzenesulfonato(2-)]-, sodium
94277-68-6		Chromate(1-), [8-[(5-chloro-2-hydroxyphenyl)azo]-7-hydroxy-1,3-naphthalenedisulfonato(4-)]-, sodium
94277-69-7		Chromate(1-), 5-[(5-chloro-2-hydroxyphenyl)azo]-6-hydroxy-2-naphthalenesulfonato(3-)]hydroxy-
94277-70-0		Xanthylium, 9-(2-carboxyphenyl)-3,6-bis(diethylamino)-, [5-[(5-chloro-2-hydroxyphenyl)azo]-6-hydroxy-2-naphthalenesulfonato(3-)]hydroxychromate(1-)
94277-71-1		Chromium, [5-chloro-2-hydroxy-3-[(2-hydroxy-1-naphthalenyl)azo]benzenesulfonato(3-)]-
94277-73-3		[29H,31H-Phthalocyanine-1,8,16,23-tetrathiolato(2-)-N29,N30,N31,N32]copper, tetrasodium salt
94277-74-4		Hydrogen bis[1-[2,4-dihydroxy-5-[(2-hydroxy-6-nitro-1-naphthyl)azo]phenyl]ethanonato(2-)]chromate(1-)
94277-75-5		Cuprate(1-), [C-[(dibutylamino)sulfonyl]-29H,31H-phthalocyanine-C-sulfonato(3-)-N29,N30,N31,N32]-, ammonium
94277-77-7		Cuprate(1-), [C,C,C-tris[[[3-[(2-ethylhexyl)oxy]propyl]amino]sulfonyl]-29H,31H-phthalocyanine-C-sulfonato(3-)-N29,N30,N31,N32]-, hydrogen, compound with 3-[(2-ethylhexyl)oxy]-1-propanamine (1:1)
94277-78-8	ビス｛２-［１-（ヒドロキシイミノ-κＮ）エチル］-４-ｔｅｒｔ-ノニルフェノラト-κＯ｝コバルト	Bis[1-(2-hydroxy-5-tert-nonylphenyl)ethanone oximato]cobalt
94277-88-0	トリス［（トリシクロ［５．２．１．０（２，６）］デカン-８-イル）メトキシ］ボラン	Tris[octahydro-4,7-methano-1H-indene-5-methanol], triester with boric acid
94278-22-5		Sodium hydrogen allylarsonate
94278-23-6	オクタデカン酸３-（ボロノオキシ）-２-ヒドロキシプロピル	3-(Boronooxy)-2-hydroxypropyl stearate
94279-11-5	１，１，３，３-テトラブチル-１，３-ビス［（１-オキソイソオクタデシル）オキシ］ジスタンノキサン	1,1,3,3-Tetrabutyl-1,3-bis[(1-oxoisooctadecyl)oxy]distannoxane
94279-42-2		Ferrate(4-), hexakis(cyano-C)-, oxidized N,N-dimethylbenzenamine, N-ethyl-2-methylbenzenamine, formaldehyde reaction products, copper(1+) salts
94292-04-3		3-[[4-(Diethylamino)phenyl]azo]-1,4-dimethyl-1H-1,2,4-triazolium trichlorozincate(1-)
94292-05-4		Chromate(3-), bis[3-hydroxy-4-[(2-hydroxy-1-naphthalenyl)azo]-7-nitro-1-naphthalenesulfonato(3-)]-, trihydrogen, compound with 2-(dodecylamino)ethanol and 2-ethyl-1-hexanamine (1:2:1)
94292-06-5		Chromate(3-), bis[4-[4,5-dihydro-4-[(2-hydroxy-5-nitrophenyl)azo]-3-methyl-5-oxo-1H-pyrazol-1-yl]benzenesulfonato(3-)]-, trihydrogen, compound with 2-(dodecylamino)ethanol (1:3)
94292-07-6	七ナトリウム＝｛３-［（１-｛４-［（４-クロロ-６-｛５-［（５-クロロ-２，６-ジフルオロピリミジン-４-イル）アミノ］-２-スルホナトアニリノ｝-１，３，５-トリアジン-２-イル）アミノ］フェニル｝-３-メチル-５-オキソ-κＯ-４，５-ジヒドロ-１Ｈ-ピラゾール-４-イド-４-イル）ジアゼニル-κＮ（１）］-４-オキシド-κＯ-ベンゼンスルホナト｝｛５-［（４-クロロ-６-｛５-［（５-クロロ-２，６-ジフルオロピリミジン-４-イル）アミノ］-２-スルホナトアニリノ｝-１，３，５-トリアジン-２-イル）アミノ］-４-オキシド-κＯ-３-［（２-オキシド-κＯ-５-スルホナトフェニル）ジアゼニル-κＮ（１）］ナフタレン-２，７-ジスルホナト｝コバルタート（７-）	Cobaltate(7-), [5-[[4-chloro-6-[[5-[(5-chloro-2,6-difluoro-4-pyrimidinyl)amino]-2-sulfophenyl]amino]-1,3,5-triazin-2-yl]amino]-4-hydroxy-3-[(2-hydroxy-5-sulfophenyl)azo]-2,7-naphthalenedisulfonato(6-)][3-[[1-[4-[[4-chloro-6-[[5-[(5-chloro-2,6-difluoro-4-pyrimidinyl)amino]-2-sulfophenyl]amino]-1,3,5-triazin-2-yl]amino]phenyl]-4,5-dihydro-3-methyl-5-oxo-1H-pyrazol-4-yl]azo]-4-hydroxybenzenesulfonato
94292-08-7		Sodium [3-[(4,5-dihydro-3-methyl-5-oxo-1-phenyl-1H-pyrazol-4-yl)azo]-4-hydroxy-5-nitrobenzenesulphonato(3-)]hydroxychromate(1-)
94313-53-8	メタホウ酸と１，３，５，７-テトラアザアダマンタンの化合物（３：１）	Metaboric acid, compound with 1,3,5,7-tetraazatricyclo[3.3.1.13,7]decane (3:1)
94313-58-3		Disodium p-tolylarsonate
94313-94-7		Barium hydrogen 1-oxopropane-1,2,3-tricarboxylate
94314-02-0		4-(Diethylamino)-3-methylbenzenediazonium tetrachlorozincate (1:1)
94314-04-2		4-[Ethyl(2-hydroxyethyl)amino]-3-methylbenzenediazonium tetrachlorozincate (2:1)
94314-05-3	シクロヘキサンアミンとホウ酸二水素（Ｈ２Ｂ４Ｏ７）の化合物（２：１）	Dihydrogen heptaoxotetraborate(2-), compound with cyclohexylamine (1:2)
94314-07-5		Cuprate(2-), [4-[4,5-dihydro-4-[[2-hydroxy-5-[[2-(sulfooxy)ethyl]sulfonyl]phenyl]azo]-3-methyl-5-oxo-1H-pyrazol-1-yl]benzenesulfonato(4-)]-, dipotassium
94333-35-4	クロム（３＋）＝トリス（２，６-ジオキソ-１，２，３，６-テトラヒドロピリミジン-４-カルボキシラート）	Chromium 1,2,3,6-tetrahydro-2,6-dioxopyrimidine-4-carboxylate (1:3)
94333-37-6	コバルト（２＋）＝ビス（２，６-ジオキソ-１，２，３，６-テトラヒドロピリミジン-４-カルボキシラート）	Cobalt 1,2,3,6-tetrahydro-2,6-dioxopyrimidine-4-carboxylate (1:2)
94333-38-7	マンガン（２＋）＝ビス（２，６-ジオキソ-１，２，３，６-テトラヒドロピリミジン-４-カルボキシラート）	Manganese 1,2,3,6-tetrahydro-2,6-dioxopyrimidine-4-carboxylate (1:2)
94333-39-8		Tin 1,2,3,6-tetrahydro-2,6-dioxopyrimidine-4-carboxylate (1:2)
943428-71-5		Zinc, bis[1-(hydroxy-.kappa.O)-2(1H)-pyridinethionato-.kappa.S2]-, (T-4)-
94349-25-4	１，１，３，３-テトラブチル-１，３-ビス［（９Ｚ，１２Ｚ，１５Ｚ）-９，１２，１５-オクタデカトリエノイルオキシ］ジスタンノキサン	(9Z,12Z,15Z)-1,1,3,3-Tetrabutyl-1,3-bis(octadeca-9,12,15-trienoyloxy)distannoxane
94349-26-5	（ａｌｌ-Ｚ）-１，１，３，３-テトラブチル-１，３-ビス［（１-オキソ-９，１２-オクタデカジエニル）オキシ］ジスタンノキサン	(9Z,12Z)-1,1,3,3-Tetrabutyl-1,3-bis(octadeca-9,12-dienoyloxy)distannoxane
94349-27-6	ビス［（９Ｚ，１２Ｚ，１５Ｚ）-オクタデカ-９，１２，１５-トリエノイルオキシ］（ジオクチル）スタンナン	Bis(octadeca-9(Z),12(Z),15(Z)-trienoyloxy)dioctylstannane
94349-78-7	酸化鉛により反応生成される獣脂の脂肪酸	Fatty acids, tallow, reaction products with lead oxide
94350-11-5		Saccharomyces cerevisiae, chromium-rich
94386-14-8		2-Phosphonobutane-1,2,4-tricarboxylic acid, zinc salt, compound with 2,2'-iminobis[ethanol]
944-22-9	ホノホス	Fonofos
94410-05-6		Dioctyltin
944129-07-1		4-Chloro-2-fluoro-3-methoxyphenylboronic acid
94442-00-9	アンチモン＝ペンタキス（アビエタ-７，１３-ジエン-１８-オアート）	Antimony pentakis[1R-(1.alpha.,4a.beta.,4b.alpha.,10a.alpha.)]-1,2,3,4,4a,4b,5,6,10,10a-decahydro-7-isopropyl-1,4a-dimethylphenanthren-1-carboxylate
94442-03-2	ビス［２-（ブトキシカルボニル）エチル］（ビス｛［２-（ステアロイルオキシ）エチル］スルファニル｝）スタンナン	[Bis(3-butoxy-3-oxopropyl)stannylene]bis(thioethylene) distearate
944578-05-6	Ｎ-（４-｛［（ブタン-２-イリデン）アミノ］オキシ｝-４，７-ジメチル-３，５-ジオキサ-６-アザ-４-シラノナ-６-エン-１-イル）-Ｎ-エチル-１，１，２，２，３，３，４，４，５，５，６，６，６-トリデカフルオロヘキサン-１-スルホンアミド	Sulfonamides, C4-8-alkane, perfluoro, N-[4,7-dimethyl-4-[[(1-methylpropylidene)amino]oxy]-3,5-dioxa-6-aza-4-silanon-6-en-1-yl]-N-ethyl
944730-39-6		Tetrasodium 1,8,15,22-tetra-(3-sulfoxypropylsulfonyl)copper phthalocyanine
94481-49-9	ジメチルヘキサン酸バリウム	Barium dimethylhexanoate
94481-58-0	（イソノナン酸-Ｏ）（ネオデカン酸-Ｏ）鉛	(Isononanoato-O)(neodecanoato-O)lead
94481-60-4		Ammonium [N,N-bis(carboxymethyl)glycinato(3-)-N,O,O',O'']manganate(1-)
94481-61-5		Bis[(butane-2,3-dione dioximato)(1-)-N,N']cobalt(1+) nitrate
94481-62-6		Bis(5-oxo-L-prolinato-N1,O2)mercury
94482-38-9		Bis(N-acetyl-DL-tryptophanato-ON,O.alpha.)hydroxyaluminium
94492-43-0		Lead hydroxide thiocyanate (Pb(OH)(SCN))
945-48-2		Methyldiphenylarsine
94502-52-0		Biguanide, 1-isopropyl-, copper complex, sulfate, hydrate
94534-99-3		Ammonium [trisulphamoyl-29H,31H-phthalocyaninesulphonato(3-)-N29,N30,N31,N32]cuprate(1-)
94538-00-8		1,3-Dichlorodibenzofuran
94538-01-9		1,4-Dichlorodibenzofuran
94538-02-0		1,7-Dichlorodibenzofuran
94551-57-2		Braunite, brown
94551-58-3		Calcium chromium tin oxide, crimson
94551-59-4		Copper, dross
94551-60-7	亜鉛ドロス中の鉛	Lead, zinc dross
94551-61-8		Willemite, white
94551-62-9		Calcines, lead-zinc ore concentrate
94551-64-1		Flue dust, steel-manufacturing, alkaline press coke - Substance obtained by the alkaline leaching and neutralization sludge treatment of flue dust from the waste gas purification in steel manufacture.  Consists primarily of lead and zinc.
94551-66-3		Fumes, lead - Residue produced in lead smelting operations from the volatillsation of lead from materials smelted.  Consists primarily of chlorides and oxides of antimony, arsenic and zinc.
94551-70-9		Leach residues, cadmium-containing flue dust
94551-71-0		Leach residues, copper dross carbamate - Residue from treatment of copper dross with ammonium carbamate solution. consists primarily of copper sulfide, lead carbonate, lead oxide and metallic lead.
94551-72-1		Leach residues, copper-lead - Substance formed by the oxidative leaching of lead- and copper-containing materials with sulfuric acid.  Consists primarily of lead sulfates and other lead compounds with lesser amounts of other non-ferrous compounds.
94551-73-2		Leach residues, tin slag - Substance formed by the leaching of chloride-containing salt slag. consists primarily of carbonates, hydroxides and sulfates of lead, tin and zinc as well as additional nonferrous metals.
94551-74-3		Matte, copper-lead
94551-78-7		Residues, lead smelting wastewater treatment - Material obtained during waste water treatment in lead production. consists primarily of lead with additional metal carbonates, hydroxides, sulfides or sulfates.
94551-79-8		Residues, lead-zinc smelting wastewater treatment
94551-80-1		Residues, tin spray coating - Residues from the spraying of tin-based metallic coating by feeding wire or metalic powder into a flame or plasma arc.  Consists primarily of tin with varying amounts of cadmium and/or zinc, mainly as metals with some oxides.
94551-81-2		Scale (coating), mill, copper - Substance obtained as scale during heat treatment of copper and copper alloys.  Consists primarily of copper oxides.
94551-86-7		Slags, tin-refining - Substance formed during the refining of tin or tin solder with chlorine. consists primarily of chlorine compounds of lead, tin and zinc and contains other nonferrous chlorides and oxides.
94551-87-8		Slimes and Sludges, copper electrolytic refining, decopperized
94551-88-9		Slimes and sludges, copper pickling - Substance precipitated during the neutralization of acidic, copper-containing solutions from galvanic and pickling treatment of copper materials.  Consists primarily of basic copper salts and calcium sulfate.
94551-89-0		Slimes and sludges, copper treatment - Deposit formed in copper wire drawing lubricants.  Consisting primarily of copper, copper oxides, and soaps and degraded soaps and oils, it may also contain tin and tin compounds from tinned copper wire.
94551-96-9		Slimes and sludges, zinc calcium leach solution, peroxidized, manganese dioxide-containing
94551-97-0		Solders, dross - Oxides formed during the melting and use of solders for the electronics industry.  Consists primarily of oxides of tin, lead and antimony with some silver and gold.
94551-99-2		Wastes, lead battery reprocessing
94552-00-8		Wastes, terne plating - Waste material obtained from the terne coating of steel.  Consists primarily of zinc chloride with traces of lead and zinc.
94552-01-9		Waste solids, copper-containing anthrasol dye
94552-02-0		Waste solids, copper-containing dye - A precipitation product of dye production.  Composed primarily of copper (II) phosphate with minor amounts of basic copper (II) carbonate and copper (II) acetate.
94552-05-3		Waste solids, lead silver anode
94552-06-4		Leach residues, zinc ore, silver-containing - Residues obtained during production of zinc sulfate solution by treatment of zinc ores or zinc concentrate solution with sulfuric acid.  Consists primarily of insoluble sulfurized argentiferous residues.
94552-19-9		Chromate(4-), [2,5-dichloro-4-[[4-hydroxy-3-[[[2-(phenylamino)ethyl]imino]methyl]phenyl]azo]benzenesulfonato(3-)][3-hydroxy-4-[(1-hydroxy-8-sulfo-2-naphthalenyl)azo]-1-naphthalenesulfonato(4-)]-, sodium
94552-20-2		Chromium, diazotized 2-amino-4,6-dinitrophenol-diazotized 6(or 7)-amino-4-hydroxy-2-naphthalenesulfonic acid-formaldehyde-resorcinol reaction product coupling products complexes
945610-97-9		Bisphenol A epichlorohydrin polymer
945614-06-2		Dicumyl peroxide
945669-03-4	１，１'-ビフェニル、２，３，３'、４'-テトラブロモー	2,3,3',4'-Tetrabromobiphenyl
94570-83-9		3,4-Dichlorodibenzofuran
945715-84-4		tert-Butyl isocyanate
945837-57-0		4-Cyclopentylbenzeneboronic acid
94624-01-8	ナトリウム＝［７-［（アセチルオキシ）アミノ］-１-（｛４-［（メチルカルバモイル）スルファモイル］-２-オキシド-κＯ-フェニル｝ジアゼニル-κＮ（２））ナフタレン-２-オラト-κＯ］［１-（４-クロロフェニル）-３-メチル-４-（｛４-［（メチルカルバモイル）スルファモイル］-２-オキシド-κＯ-フェニル｝ジアゼニル-κＮ（１））-５-オキソ-κＯ-４，５-ジヒドロ-１Ｈ-ピラゾール-４-イド］コバルタート（１-）	Cobaltate(1-), [4-[[7-[(acetyloxy)amino]-2-hydroxy-1-naphthalenyl]azo]-3-hydroxy-N-[(methylamino)carbonyl]benzenesulfonamidato(2-)][4-[[1-(4-chlorophenyl)-4,5-dihydro-3-methyl-5-oxo-1H-pyrazol-4-yl]azo]-3-hydroxy-N-[(methylamino)carbonyl]benzenesulfonamidato(2-)]-, sodium
94624-19-8		Copper, ammine chloro complexes
94648-71-2	［ヘキサン-１，６-ジイル（ジチオカルバマト-κ（２）Ｓ，Ｓ'）（ジチオカルバマト）］コバルト（ＩＩ）二水和物	Cobalt, [hexamethylenebis[dithiocarbamato]]-, dihydrate
94650-98-3		Fenitrothion
947-02-4	ホスホラン	Phosfolan
947-33-1		Mephosfolan
94701-72-1		Copper, chloro[29H,31H-phthalocyaninato(2-)-.kappa.N29,.kappa.N30,.kappa.N31,.kappa.N32]-, (SP-5-12)-
947533-23-5		4-(Cyanomethoxy)phenylboronic acid
94765-75-0		Cyclohexene, 1-methyl-4-(1-methylethenyl)-, (4R)-
94786-86-4		DL-Alanine, N-(2,6-dimethylphenyl)-N-(phenylacetyl)-, methyl ester, mixture with [[1,2-ethanediylbis[carbamodithioato]](2-)]manganese and [[1,2-ethanediylbis[carbamodithioato]](2-)]zinc
94786-94-4	ビタミンＢ１２とデキストラン鉄の混合物	Vitamin B12, mixture with iron dextran
94805-01-3	［２-［α-［３-（４，６-ジクロロ-１，３，５-トリアジン-２-イルアミノ）-２-ヒドロキシ-５-スルホフェニルアゾ］ベンジリデンヒドラジノ］-４-スルホベンゾアト-（Ｏ，Ｏ'）（４-）］銅（ＩＩ）酸二ナトリウム	Cuprate(3-), [2-[[[[3-[(4,6-dichloro-1,3,5-triazin-2-yl)amino]-2-hydroxy-5-sulfophenyl]azo]phenylmethyl]azo]-4-sulfobenzoato(5-)]-, disodium hydrogen, (SP-4-3)-
94817-79-5		2-Undecanol, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-nonadecafluoro-1-[(1-methylpropyl)amino]-
94817-80-8		2-Dodecanol, 4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11, 12,12,12-nonadecafluoro-1-[(1-methylpropyl) amino]-
94825-20-4		Bis(nitrilotriacetic acid) antimony complex
94839-07-3		3,4-(Methylenedioxy)phenylboronic acid
94857-33-7	（メタクリロイルオキシ）（トリフェニル）スタンナン・メチル＝メタクリラート・オクチル＝アクリラート重合物	Octyl acrylate-methyl methacrylate-triphenyltin methacrylate copolymer
948592-80-1		2-Amino-5-methylbenzeneboronic acid, pinacol ester
94891-35-7	１，３-ビス（ヒドロキシメチル）尿素とホウ酸とエチレングリコールとホルムアルデヒドとグルタルアルデヒドと１，３，４，６-テトラキス（ヒドロキシメチル）テトラヒドロイミダゾ［４，５-ｄ］イミダゾール-２，５（１Ｈ，３Ｈ）-ジオンの反応生成物	Boric acid (H3BO3), reaction products with N,N'-bis(hydroxymethyl)urea, ethylene glycol, formaldehyde, glutaraldehyde and tetrahydro-1,3,4,6-tetrakis(hydroxymethyl)imidazo[4,5-d]imidazole-2,5(1H,3H)-dione
94891-40-4		Glycine, N-[(C10-22-branched and linear alkyl and naphthenyl)sulfonyl] derivatives, barium salts (2:1)
94891-42-6	（フタロシアニナトニッケルのクロロスルホニル誘導体）とナトリウム＝２-［（４-アミノフェニル）スルホニル］エチル＝スルファートの反応生成物のカリウム塩	Nickel, [29H,31H-phthalocyaninato(2-)-N29,N30,N31,N32]-, chlorosulfonyl derivatives, reaction products with 2-[(4-aminophenyl)sulfonyl]ethyl hydrogen sulfate monosodium salt, potassium salts
94891-43-7	（フタロシアニナトニッケルのクロロスルホニル誘導体）とナトリウム＝２-［（４-アミノフェニル）スルホニル］エチル＝スルファートの反応生成物のナトリウム塩	Nickel, [29H,31H-phthalocyaninato(2-)-N29,N30,N31,N32]-, chlorosulfonyl derivatives, reaction products with 2-[(4-aminophenyl)sulfonyl]ethyl hydrogen sulfate monosodium salt, sodium salts
94933-05-8		Chromate(3-), bis[2-[[2,4-dihydroxy-3-[(5-sulfo-1-naphthalenyl)azo]phenyl]azo]benzoato(3-)]-, trisodium
94956-11-3		Cuprate(4-), [2-[2-[[2-[3-[[4-chloro-6-[ethyl[3-[[2-(sulfooxy)ethyl]sulfonyl]phenyl]amino]-1,3,5-triazin-2-yl]amino]-2-(hydroxy-.kappa.O)-5-sulfophenyl]diazenyl-.kappa.N2]phenylmethyl]diazenyl-.kappa.N1]-4-sulfobenzoato(6-)-.kappa.O]-, sodium (1:4)
94979-18-7		Hydrogen (2-aminoethanolato-N,O)aqua[3-hydroxy-4-[(2-hydroxy-1-naphthyl)azo]-7-nitronaphthalene-1-sulphonato(3-)]chromate(1-)
94979-19-8		Sodium hydroxy[3-hydroxy-4-[(2-hydroxy-1-naphthyl)azo]-7-nitronaphthalene-1-sulphonato(3-)]chromate(1-)
94979-20-1		(Ethylenediamine-N)(1-imino-1H-isoindol-3-amine-N2)[29H,31H-phthalocyaninato-N29,N30,N31,N32]cobalt
